Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Abre las piernas,Spread your legs,,Intimate command. Direct sexual instruction. Context: Used during intimate moments with consent. Example: Abre las piernas para mí = Spread your legs for me,Intimate command | Sexual,,,basic,intimate sexual explicit,5
Arrodíllate,Get on your knees,,"Intimate command. Can be dominant/submissive context. Colombian: straightforward, direct. Example: Arrodíllate aquí = Get on your knees here",Position command | Sexual,,,basic,intimate sexual explicit,5
¿Acabaste?,Did you cum? / Did you finish?,,Direct question post-orgasm. Colombian slang: 'acabar' = to finish/cum. Common intimate check-in. Example: ¿Ya acabaste mi amor? = Did you finish already my love?,Sexual question | Intimate,Te veniste?,,basic,intimate sexual explicit,5
Chúpamela,Suck it / Suck me,,Explicit command. Very direct. 'Chúpamelo' for masculine ending. Colombian: straight to the point. Example: Chúpamela rico = Suck it good,Sexual command | Vulgar,Mámamela,,basic,intimate sexual explicit vulgar,5
Chupa profundo,Deepthroat / Suck deep,,Explicit instruction. 'Profundo' = deep. Colombian: direct sexual language. Example: Chupa profundo bebé = Suck deep baby,Sexual instruction | Explicit,,,basic,intimate sexual explicit vulgar,5
Dame duro,Harder / Give it to me hard,,Common during sex. 'Duro' = hard. Colombian favorite expression. Very passionate. Example: Dame duro papi = Give it to me hard daddy,Sexual instruction | Intense,Más duro,,basic,intimate sexual explicit,5
Dame oral,Go down on me / Give me oral,,Direct request for oral sex. Gender neutral. Colombian: straightforward intimate request. Example: Dame oral por favor = Go down on me please,Sexual request | Direct,,,basic,intimate sexual explicit,5
Dedéame,Finger me,,Explicit request. 'Dedear' = to finger (verb). Colombian slang for digital stimulation. Example: Dedéame despacio = Finger me slowly,Sexual request | Explicit,Méteme los dedos,,basic,intimate sexual explicit vulgar,5
Estás bien duro,You're really hard,,Compliment during intimacy. 'Duro' = hard (erection). Colombian: direct observation. Example: Ay papi estás bien duro = Oh daddy you're really hard,Sexual compliment | Intimate,Qué duro estás,,basic,intimate sexual explicit,5
Estás bien grande,You're huge / You're really big,,Size compliment. 'Grande' = big. Colombian: straightforward sexual compliment. Example: Uy estás bien grande = Wow you're really big,Sexual compliment | Explicit,La tienes enorme,,basic,intimate sexual explicit,5
Estás bien mojada,You're so wet,,Arousal observation. 'Mojada' = wet (feminine). Colombian: direct intimate comment. Example: Bebé estás bien mojada = Baby you're so wet,Sexual observation | Intimate,Estás empapada,,basic,intimate sexual explicit,5
Estás empapado,You're soaking wet (masculine),,Arousal observation. 'Empapado' = soaked. Less common but used. Example: Estás empapado mi amor = You're soaking wet my love,Sexual observation | Intimate,,,basic,intimate sexual explicit,5
Estoy a punto de venirme,I'm about to cum,,Warning during sex. 'Venirse' = to cum (Colombian slang). Important communication. Example: Papi estoy a punto de venirme = Daddy I'm about to cum,Sexual communication | Intimate,Ya casi me vengo,,basic,intimate sexual explicit,5
Estoy bien mojada,I'm so wet,,Self-description of arousal. Feminine form. Colombian: open sexual communication. Example: Estoy bien mojada por ti = I'm so wet for you,Sexual self-description | Intimate,Estoy empapada,,basic,intimate sexual explicit,5
Hacemos sin condón,Let's do it without a condom,,Risky proposition. 'Sin condón' or 'sin goma' (Colombian slang: goma = condom). Example: ¿Hacemos sin condón? Estoy tomando pastillas = Let's do it without a condom? I'm on the pill,Sexual negotiation | Risky,Sin goma,,basic,intimate sexual explicit,5
Hazme el amor,Make love to me,,Romantic sexual request. Softer than 'culéame'. Colombian: intimate and affectionate. Example: Hazme el amor despacio = Make love to me slowly,Romantic sexual | Intimate,,,basic,intimate romance sexual,4
Hazme tuya,Make me yours,,Passionate submission. 'Tuya' = yours (feminine). 'Tuyo' masculine. Very intimate. Example: Hazme tuya esta noche = Make me yours tonight,Passionate surrender | Sexual,,,basic,intimate romance sexual,5
