Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
¡Pilas con el jefe!,Watch out for the boss! / Be alert around the boss!,,"Colombian workplace warning. 'Pilas' = batteries, but means 'be alert/careful'. Used when boss is nearby or when you need to focus. Example: ¡Pilas con el jefe que viene para acá! = Watch out for the boss, he's coming this way!",Informal | Workplace slang,Cuidado con el jefe,,phrase,work office slang warning,3
Tengo mucho camello,I have a lot of work,,"Colombian slang for work. 'Camello' literally = camel, but in Colombia = work/job. Very common. More intense than 'trabajo'. Example: Tengo mucho camello esta semana, no puedo salir = I have a lot of work this week, I can't go out",Informal | Work slang,Tengo mucho trabajo,,phrase,work slang,2
Estoy camelléndole duro,I'm working hard / I'm grinding,,"'Camellar' = to work (verb from 'camello'). 'Duro' = hard. Colombian way to say you're working intensely. Example: Estoy camelléndole duro para terminar el proyecto = I'm working hard to finish the project",Informal | Work slang,Estoy trabajando duro,,phrase,work slang effort,3
¿A qué horas sales del trabajo?,What time do you get off work?,,"Standard Colombian question. 'Salir del trabajo' = leave work. Used for planning after-work activities. Example: ¿A qué horas sales del trabajo hoy? Nos tomamos algo = What time do you get off work today? Let's grab drinks",Neutral | Daily conversation,¿A qué hora terminas?,,question,work time daily,2
Tengo reunión todo el día,I have meetings all day,,"Common office complaint. 'Reunión' = meeting. Colombian office culture has many meetings. Example: Uy parce, tengo reunión todo el día, qué pereza = Ugh dude, I have meetings all day, what a drag",Neutral | Office,Estoy en reuniones todo el día,,statement,work office meetings,2
Me tocó quedarme hasta tarde,I had to stay late / I had to work late,,"'Me tocó' = I had to (Colombian expression). Common workplace complaint. Example: Me tocó quedarme hasta tarde porque el jefe pidió el informe para mañana = I had to stay late because the boss asked for the report tomorrow",Neutral | Work complaint,Tuve que quedarme tarde,,phrase,work overtime,2
¿Hacemos un catorce?,Can you do me a favor? / Help me out?,,"Colombian slang for favor. 'Catorce' = fourteen, but means favor. Unique to Colombia. Example: Parce, ¿me haces un catorce? Necesito que cubras mi turno = Dude, can you do me a favor? I need you to cover my shift",Informal | Colombian idiom,¿Me haces un favor?,,question,work favor slang,3
Estoy embolatado con trabajo,I'm swamped with work / I'm tied up with work,,"'Embolatado' = busy/overwhelmed (Colombian). 'Embolatar' = to get tangled up. Example: Estoy embolatado con trabajo, no puedo ir al almuerzo = I'm swamped with work, I can't go to lunch",Informal | Work slang,Estoy muy ocupado,,phrase,work busy slang,3
Me rajé en el examen,I failed the exam,,"'Rajarse' = to fail (Colombian student slang). Very common among students. Example: Me rajé en el examen de matemáticas, toca repetir = I failed the math exam, I have to retake it",Informal | Student slang,Perdí el examen,,phrase,study failure slang,2
¿Estudiaste para el parcial?,Did you study for the exam?,,"'Parcial' = midterm/exam (Colombian university term). Common student question. Example: ¿Estudiaste para el parcial de mañana o vamos a hacer vaca? = Did you study for tomorrow's exam or should we pool money (for something)?",Neutral | Student,¿Estudiaste para el examen?,,question,study university,2
Tengo que entregar la tarea mañana,I have to turn in the homework tomorrow,,"'Entregar' = to turn in/submit. Standard expression. Example: Tengo que entregar la tarea mañana y todavía no he empezado = I have to turn in the homework tomorrow and I haven't even started",Neutral | Student,Debo entregar el trabajo mañana,,statement,study homework deadline,1
¡Páreme bolas!,Pay attention to me! / Listen to me!,,"Colombian command. 'Parar bolas' = to pay attention (literally: stop balls). Used by teachers, parents, bosses. Example: ¡Páreme bolas que esto es importante! = Pay attention to me, this is important!",Informal | Colombian idiom,¡Présteme atención!,,command,attention slang,3
No hice la tarea,I didn't do the homework,,"Simple student confession. Very common excuse. Example: Profe, no hice la tarea porque se me fue el internet = Teacher, I didn't do the homework because my internet went out",Neutral | Student,No terminé la tarea,,statement,study excuse,1
Estoy estudiando para el quiz,I'm studying for the quiz,,"'Quiz' used in Colombia (English loan word). Common in universities. Example: Estoy estudiando para el quiz de historia, ¿me ayudas? = I'm studying for the history quiz, can you help me?",Neutral | Student,Estoy repasando para el quiz,,statement,study preparation,2
Voy a parchar con los manes,I'm going to hang out with the guys,,"'Parchar' = to hang out (Colombian slang). 'Manes' = guys/dudes. Very common youth expression. Example: Voy a parchar con los manes en el parque = I'm going to hang out with the guys at the park",Informal | Youth slang,Voy a salir con los amigos,,phrase,activities friends slang,3
¿Vamos a rumbear este finde?,Should we party this weekend? / Want to go out this weekend?,,"'Rumbear' = to party (Colombian). 'Finde' = weekend (short for fin de semana). Very common. Example: ¿Vamos a rumbear este finde o qué más? = Should we party this weekend or what?",Informal | Party slang,¿Salimos de fiesta?,,question,activities party weekend,3
